RIAccount,Account,Subaccount,Lawson Account
18,976900,18011,976900-18011
19,976900,18011,976900-18011
1392,976900,18011,976900-18011
1393,976900,18011,976900-18011
1398,976900,18011,976900-18011
1399,976900,18011,976900-18011
1104,976900,18021,976900-18021
1116,976900,18021,976900-18021
1155,976900,18021,976900-18021
1200,976900,18021,976900-18021
1819,976900,18021,976900-18021
2325,976900,18021,976900-18021
1822,976900,18021,976900-18021
146,976900,18031,976900-18031
1216,976900,18031,976900-18031
958,976900,18031,976900-18031
1786,976900,18011,976900-18011
2288,976900,18011,976900-18011
52,976900,18011,976900-18011
53,976900,18011,976900-18011
1136,976900,18011,976900-18011
90,976900,18012,976900-18012
91,976900,18012,976900-18012
111,976900,18013,976900-18013
1112,976900,18021,976900-18021
123,976900,18031,976900-18031
136,976900,18031,976900-18031
149,976900,18031,976900-18031
939,976900,18031,976900-18031
950,976900,18031,976900-18031
961,976900,18031,976900-18031
1219,976900,18031,976900-18031
1230,976900,18031,976900-18031
1241,976900,18031,976900-18031
1252,976900,18031,976900-18031
1274,976900,18031,976900-18031
1263,976900,18031,976900-18031
161,976900,18032,976900-18032
971,976900,18032,976900-18032
42,976900,18011,976900-18011
32,976900,18011,976900-18011
43,976900,18011,976900-18011
33,976900,18011,976900-18011
1129,976900,18011,976900-18011
1133,976900,18011,976900-18011
70,976900,18012,976900-18012
80,976900,18012,976900-18012
71,976900,18012,976900-18012
81,976900,18012,976900-18012
1105,976900,18021,976900-18021
1109,976900,18021,976900-18021
1212,976900,18031,976900-18031
1215,976900,18031,976900-18031
1223,976900,18031,976900-18031
1226,976900,18031,976900-18031
1234,976900,18031,976900-18031
1237,976900,18031,976900-18031
1256,976900,18031,976900-18031
1259,976900,18031,976900-18031
1086,976900,18011,976900-18011
172,976900,18011,976900-18011
874,976900,18011,976900-18011
929,976900,18011,976900-18011
888,976900,18011,976900-18011
1087,976900,18012,976900-18012
899,976900,18012,976900-18012
112,976900,18013,976900-18013
1489,976900,18013,976900-18013
168,976900,18021,976900-18021
925,976900,18021,976900-18021
125,976900,18031,976900-18031
138,976900,18031,976900-18031
151,976900,18031,976900-18031
940,976900,18031,976900-18031
951,976900,18031,976900-18031
962,976900,18031,976900-18031
1220,976900,18031,976900-18031
1231,976900,18031,976900-18031
1242,976900,18031,976900-18031
1253,976900,18031,976900-18031
1275,976900,18031,976900-18031
1264,976900,18031,976900-18031
163,976900,18032,976900-18032
972,976900,18032,976900-18032
1408,976900,18011,976900-18011
1409,976900,18011,976900-18011
882,976900,18011,976900-18011
887,976900,18011,976900-18011
20,976900,18011,976900-18011
21,976900,18011,976900-18011
1126,976900,18011,976900-18011
1380,976900,18011,976900-18011
1381,976900,18011,976900-18011
1505,976900,18011,976900-18011
22,976900,18011,976900-18011
23,976900,18011,976900-18011
1127,976900,18011,976900-18011
1382,976900,18011,976900-18011
1383,976900,18011,976900-18011
1165,976900,18011,976900-18011
1384,976900,18011,976900-18011
1385,976900,18011,976900-18011
1205,976900,18011,976900-18011
7,976900,18011,976900-18011
1710,976900,18011,976900-18011
877,976900,18011,976900-18011
10,976900,18011,976900-18011
1124,976900,18011,976900-18011
1711,976900,18011,976900-18011
1162,976900,18011,976900-18011
1174,976900,18011,976900-18011
1139,976900,18011,976900-18011
886,976900,18011,976900-18011
1367,976900,18011,976900-18011
1368,976900,18011,976900-18011
103,976900,18013,976900-18013
1467,976900,18013,976900-18013
8,976900,18011,976900-18011
1708,976900,18011,976900-18011
11,976900,18011,976900-18011
1125,976900,18011,976900-18011
1709,976900,18011,976900-18011
12,976900,18011,976900-18011
1386,976900,18011,976900-18011
2239,976900,18011,976900-18011
16,976900,18011,976900-18011
1390,976900,18011,976900-18011
2241,976900,18011,976900-18011
881,976900,18011,976900-18011
1365,976900,18011,976900-18011
1366,976900,18011,976900-18011
878,976900,18011,976900-18011
28,976900,18011,976900-18011
29,976900,18011,976900-18011
1400,976900,18011,976900-18011
1401,976900,18011,976900-18011
1434,976900,18011,976900-18011
1435,976900,18011,976900-18011
1438,976900,18011,976900-18011
1439,976900,18011,976900-18011
1442,976900,18011,976900-18011
1443,976900,18011,976900-18011
1414,976900,18011,976900-18011
1415,976900,18011,976900-18011
1416,976900,18011,976900-18011
1417,976900,18011,976900-18011
1418,976900,18011,976900-18011
1419,976900,18011,976900-18011
1420,976900,18011,976900-18011
1421,976900,18011,976900-18011
1422,976900,18011,976900-18011
1423,976900,18011,976900-18011
1424,976900,18011,976900-18011
1425,976900,18011,976900-18011
147,976900,18031,976900-18031
959,976900,18031,976900-18031
148,976900,18031,976900-18031
960,976900,18031,976900-18031
1217,976900,18031,976900-18031
1218,976900,18031,976900-18031
1228,976900,18031,976900-18031
1229,976900,18031,976900-18031
1239,976900,18031,976900-18031
1240,976900,18031,976900-18031
1250,976900,18031,976900-18031
1251,976900,18031,976900-18031
1272,976900,18031,976900-18031
1273,976900,18031,976900-18031
1261,976900,18031,976900-18031
1262,976900,18031,976900-18031
119,976900,18031,976900-18031
936,976900,18031,976900-18031
133,976900,18031,976900-18031
947,976900,18031,976900-18031
1249,976900,18031,976900-18031
116,976900,18031,976900-18031
129,976900,18031,976900-18031
142,976900,18031,976900-18031
932,976900,18031,976900-18031
943,976900,18031,976900-18031
954,976900,18031,976900-18031
1245,976900,18031,976900-18031
1267,976900,18031,976900-18031
145,976900,18031,976900-18031
132,976900,18031,976900-18031
122,976900,18031,976900-18031
935,976900,18031,976900-18031
946,976900,18031,976900-18031
957,976900,18031,976900-18031
1248,976900,18031,976900-18031
1270,976900,18031,976900-18031
155,976900,18032,976900-18032
965,976900,18032,976900-18032
160,976900,18032,976900-18032
970,976900,18032,976900-18032
1102,976900,18021,976900-18021
1492,976900,18021,976900-18021
134,976900,18031,976900-18031
948,976900,18031,976900-18031
135,976900,18031,976900-18031
949,976900,18031,976900-18031
120,976900,18031,976900-18031
937,976900,18031,976900-18031
121,976900,18031,976900-18031
938,976900,18031,976900-18031
1103,976900,18021,976900-18021
1148,976900,18021,976900-18021
1199,976900,18021,976900-18021
1145,976900,18021,976900-18021
